price,bedrooms,bathrooms,sqft_living,sqft_above
221900,3,1,1180,1180
538000,3,2.25,2570,2170
180000,2,1,770,770
604000,4,3,1960,1050
510000,3,2,1680,1680
1.23E+06,4,4.5,5420,3890
257500,3,2.25,1715,1715
291850,3,1.5,1060,1060
229500,3,1,1780,1050
323000,3,2.5,1890,1890
662500,3,2.5,3560,1860
468000,2,1,1160,860
310000,3,1,1430,1430
400000,3,1.75,1370,1370
530000,5,2,1810,1810
650000,4,3,2950,1980
395000,3,2,1890,1890
485000,4,1,1600,1600
189000,2,1,1200,1200
230000,3,1,1250,1250
385000,4,1.75,1620,860
2.00E+06,3,2.75,3050,2330
285000,5,2.5,2270,2270
252700,2,1.5,1070,1070
329000,3,2.25,2450,2450
233000,3,2,1710,1710
937000,3,1.75,2450,1750
667000,3,1,1400,1400
438000,3,1.75,1520,790
719000,4,2.5,2570,2570
580500,3,2.5,2320,2320
280000,2,1.5,1190,1190
687500,4,1.75,2330,1510
535000,3,1,1090,1090
322500,4,2.75,2060,1280
696000,3,2.5,2300,1510
550000,4,1,1660,930
640000,4,2,2360,2360
240000,4,1,1220,890
605000,4,2.5,2620,2620
625000,4,2.5,2570,2570
775000,4,2.25,4220,2600
861990,5,2.75,3595,3595
685000,3,1,1570,1570
309000,3,1,1280,920
488000,3,2.5,3160,3160
210490,3,1,990,990
785000,4,2.5,2290,2290
450000,3,1.75,1250,1250
1.35E+06,3,2.5,2753,2165
228000,3,1,1190,1190
345000,5,2.5,3150,1640
600000,3,1.75,1410,1000
585000,2,1.75,1980,990
920000,5,2.25,2730,2130
885000,4,2.5,2830,2830
292500,4,2.5,2250,2250
301000,3,2.5,2420,2420
951000,5,3.25,3250,3250
430000,4,3,1850,1850
650000,3,2.25,2150,1590
289000,3,1.75,1260,1260
505000,3,1.75,2519,2519
549000,3,1.75,1540,1540
425000,3,2.25,1660,1110
317625,3,2.75,2770,1770
975000,4,2.5,2720,2720
287000,4,2.5,2240,2240
204000,3,1,1000,1000
1.33E+06,5,2.25,3200,1600
1.04E+06,5,3.25,4770,3070
325000,3,2,1260,1260
571000,4,2,2750,2250
360000,4,2.5,2380,2380
349000,3,1.75,1790,1090
832500,4,4,3430,2390
380000,4,1.75,1760,880
480000,3,1,1040,1040
410000,3,1,1410,910
720000,4,2.5,3450,3450
390000,3,2.5,2350,2350
360000,4,2.5,1900,1900
355000,2,1,2020,1010
356000,3,1.5,1680,1680
315000,3,1,960,960
940000,3,1.5,2140,1900
305000,5,2.25,2660,2660
461000,3,3.25,2770,1980
215000,2,2.25,1610,1610
335000,2,1.75,1030,765
243500,4,2.5,1980,1980
1.10E+06,5,2.75,3520,3520
153000,3,1,1200,1200
430000,3,1.5,1580,1290
700000,3,1.5,1580,1290
905000,4,2.5,3300,2390
247500,3,1.75,1960,1960
199000,4,1.5,1160,1160
314000,3,1.75,1810,1210
437500,3,2.5,2320,2320
850830,3,2.5,2070,1270
555000,3,2,1980,1440
699950,3,2.25,2190,2190
1.09E+06,3,2.5,2920,2920
290000,3,1,1210,1210
375000,3,2.5,2340,1460
460000,3,1,1670,1170
188500,2,1.75,1240,1240
680000,4,2.5,3140,3140
470000,5,1.75,2030,2030
597750,4,2.5,2310,2310
570000,3,1.75,1260,700
272500,3,1.75,1540,1160
329950,3,1.75,2080,1080
480000,4,2.5,3230,2520
740500,3,3.5,4380,2780
518500,3,3.5,1590,1590
205425,2,1,880,880
171800,4,2,1570,1570
535000,4,1,1610,1610
660000,3,2.5,2400,1560
391500,3,2,1450,1450
395000,2,1,770,770
445000,4,1.75,2100,1720
770000,3,2.25,2910,2910
1.45E+06,4,2.75,2750,1980
445000,3,2.25,2100,1620
260000,4,2.25,2160,1360
822500,5,3.5,2320,1720
430000,4,2.5,2070,2070
212000,3,1.75,1060,1060
660500,4,2.25,2010,1440
784000,3,3.5,3950,2460
453246,3,2.5,2010,1390
675000,4,3.5,2140,2140
199000,3,1.75,1320,1320
220000,4,1.75,2020,1010
452000,4,2.25,2590,1340
382500,2,1,1190,1190
519950,3,2.25,1170,1170
665000,2,1,1110,1110
527700,5,2.5,2820,1550
205000,3,1,1610,1010
420000,3,1,1060,940
500000,4,2.25,2030,1380
921500,4,2.5,3670,3670
890000,4,1,2550,2370
430000,2,2.5,2420,2420
258000,5,2,2260,1130
511000,3,1,1430,980
532170,3,2,1360,1360
560000,3,1,1110,1110
282950,3,1,1250,1250
2.25E+06,4,3.25,5180,3540
350000,1,1,700,700
215000,3,1,1180,1180
650000,5,3.5,3960,2500
320000,4,2.75,2640,1620
247000,3,2,1270,1270
320000,4,1.75,1760,1760
255000,5,2.25,2060,1030
438000,3,1.75,1780,1780
900000,3,2.5,3400,3400
441000,3,2.75,1910,1160
420000,3,2,2020,1010
370000,3,1.75,1580,1180
269950,2,1.75,1340,700
807100,4,2.5,2680,2680
653000,3,2.5,2680,1610
371500,3,2,1370,1370
284000,3,1.75,1560,1560
272000,3,1.75,2160,1670
313000,3,1.5,1340,1340
917500,4,2.5,3880,2570
673000,4,2.25,2590,2590
425000,3,2.5,1120,820
399950,5,2.75,1970,1320
385000,3,1,1220,1220
269950,3,1.5,1950,1320
330000,2,1,1350,1060
260000,3,2.5,1670,1670
470000,4,3,2380,1680
589000,4,3,2440,2440
163500,2,1.5,1050,1050
835000,4,2.75,3130,2140
1.10E+06,5,3,4090,2090
269000,4,1.75,1490,1100
560000,3,2.5,1900,1900
615000,4,1,1330,1330
585188,3,2.25,2230,1430
305000,3,1.75,1650,1220
166950,3,1,1190,1190
799000,3,2.5,2140,2140
400000,3,2.5,2180,1420
230000,3,1,1060,1060
256883,3,2.5,1690,1690
423000,4,2,1970,1130
465000,3,2.5,2150,2150
440000,3,2.5,1910,1910
385000,3,1.75,1350,1350
210000,3,1,860,860
297000,3,2.5,1940,1940
470000,3,1,1010,1010
226500,3,1.5,1300,900
274250,3,1,910,910
840000,4,1.75,2480,1630
677900,3,2.5,2440,2440
425000,3,1,1010,1010
180250,2,0.75,900,900
464000,6,3,2300,1600
320000,4,2.25,1550,1550
625504,3,2.25,1270,1060
592500,4,2.5,2240,2240
465000,3,2.5,2714,2714
477000,4,2.75,1720,1720
280000,2,1,850,850
1.51E+06,5,3,3300,1870
445838,3,2.5,2250,2250
1.07E+06,2,2.25,3900,1950
467000,2,1.5,1320,1320
686000,4,2.5,2760,2760
279950,3,2,1750,1350
527000,4,2.25,2330,2330
325000,3,2.25,2220,1780
328000,3,2.25,2020,2020
390000,3,2.25,1250,1250
479950,2,2,1510,1510
264950,4,2.25,1720,1120
235000,3,1,1430,980
516500,3,2.5,1480,1480
655000,2,1.75,1450,1230
500000,4,2.75,2280,2280
315000,6,2.75,2940,1780
213000,2,1,1000,1000
475000,3,1.5,2480,1620
1.03E+06,5,4,3760,3760
416000,3,2,2220,1640
410000,4,1,1970,1670
800000,3,3.5,3830,3530
472000,6,2.5,4410,2350
225000,3,1.75,1430,1430
210000,2,1,830,830
455000,2,1,1430,1430
225000,3,1,1300,1300
480000,2,1,1030,790
363000,3,2.5,2740,2740
2.40E+06,4,2.5,3650,1830
181000,2,1.5,720,720
250000,4,2,2010,2010
481000,3,1.75,1560,770
260000,3,2,1810,1240
455000,4,2.5,3360,3360
415000,3,2.25,1510,1510
349500,3,1,1400,800
245000,3,2.5,1730,1730
592500,2,2,1420,1420
385000,4,1.75,2360,1180
315000,3,1.75,1580,1200
255000,3,1,1230,1230
693000,4,2.5,2460,2460
780000,3,1,1660,1460
237000,3,1.75,1270,1270
525000,3,2.25,2100,1320
425000,2,1,770,770
369900,1,0.75,760,760
290000,4,2.5,1700,1700
285000,3,1,1120,1120
415000,2,1,1070,1070
272500,3,2.5,2070,1420
2.90E+06,4,3.25,5050,4750
1.37E+06,4,4.75,5310,5310
436000,2,1,1040,1040
210000,3,1,1700,1700
236000,3,1,1300,1300
331000,3,1.75,1080,580
365000,3,2.5,2653,2653
450000,3,2,2290,2290
770000,4,2.75,3820,2850
455000,4,2.5,2210,2210
405000,3,1.75,2390,1240
304900,4,1.75,2600,1610
170000,2,1,860,860
2.05E+06,5,3,3830,2630
780000,4,2.5,3500,3500
330000,3,3,2420,1740
370000,4,2.5,2720,2720
467000,5,2.25,2500,1850
405000,3,1.75,1670,1140
675000,5,2.25,2900,1450
500000,2,1,1640,1140
389999,4,2.5,1890,1890
630000,4,1.75,2950,1780
360000,4,2.5,2160,2160
580000,4,3,3280,2270
550000,3,2,1970,1270
879000,4,2.5,3360,3360
265000,3,2,1320,1320
446500,3,2.5,2650,2650
404000,3,1.5,2030,1330
267500,3,1.75,1590,1090
3.08E+06,4,5,4550,2600
335000,3,2.5,2440,2440
576000,3,2.5,1940,970
208633,3,2.5,2040,2040
315000,3,2.25,2200,1120
725000,3,1.75,1920,960
550000,4,2.75,1800,1400
610750,4,2.25,2180,2180
550700,2,1,1010,1010
665000,4,2.75,3320,2220
834000,4,2.5,2370,1980
201000,5,1.75,1660,1660
2.38E+06,5,2.5,3650,3370
1.38E+06,4,3.25,4290,2690
1.40E+06,4,3.25,4290,2690
305000,4,2.25,1950,1350
487000,3,2,2590,1720
390000,3,2.5,1930,1930
548000,2,1,1470,1170
268750,4,1,800,800
819900,5,2.75,3150,3150
520000,3,2.25,2030,2030
230000,3,2,1450,1450
240000,3,1.75,1510,1510
232000,2,1,1240,960
240500,2,1,1240,960
274975,3,2.5,3030,3030
740000,4,2,2050,2050
186375,3,1,1000,1000
790000,3,2.25,2370,1590
880000,4,3.5,2800,1890
279000,6,1.75,2240,2240
295000,3,2,1810,1810
640000,2,1,1070,1070
940000,4,2,2490,2490
260000,4,2.5,1960,1960
559900,3,2.75,2930,1860
791500,4,2,1510,1510
265000,3,1.75,1420,1420
245000,3,1.75,1740,1740
485000,4,1.75,2560,2560
684000,4,3.5,3040,2420
425000,3,1.75,2500,1300
309600,4,1.75,1275,1275
552250,4,2.5,2580,2580
165000,4,1,1000,1000
239900,4,1,1000,1000
320000,2,1,1070,1070
206600,3,2,1390,1390
387000,4,1.75,2500,1250
299000,1,0.75,560,560
855000,4,2.75,2270,2270
315000,3,1,1900,1300
437500,2,1,990,790
252000,4,1.5,1550,1050
375000,4,1.75,2200,1100
300000,4,2.5,1910,1910
420000,4,1,1750,1750
900000,3,1,1330,1330
679900,3,2.5,2440,1980
463000,3,2.5,1640,1640
380000,5,2.5,2760,2760
329500,4,2.5,1820,1820
604950,3,2.5,2110,1340
795000,5,2.5,3040,1640
465000,3,2,1840,1840
673000,4,2.5,2990,2990
810000,4,2.5,3520,3520
785000,4,2.75,2440,1910
338000,4,3,2090,1370
280000,3,2.25,1430,1430
315000,4,2.25,2180,1100
530000,4,2.25,2180,1100
380000,5,3,3450,3450
297000,3,2.25,1450,1450
730000,4,2.5,3230,3230
450000,3,1.75,1640,1110
275000,3,3,1590,1060
595000,4,2,2020,2020
435000,3,1.5,1300,1300
270000,2,1.5,1380,1380
950000,3,3,4040,3030
389000,4,2.25,2130,2130
560000,4,2.25,2550,1580
1.35E+06,5,3.5,4800,3480
799000,4,2.25,2510,2510
365500,3,2,1410,1410
252350,3,2,1650,1160
403950,4,2.5,2120,2120
385000,4,1.5,2040,1380
345000,4,1,1550,1550
490000,3,2.75,1980,1980
330000,3,2.5,1600,1600
927000,4,2.75,3300,3300
1.12E+06,4,2.5,3840,3840
330000,2,1,1220,1220
530000,5,2.25,2720,1500
365000,4,2,1940,1940
378750,3,2.5,2160,1260
269900,4,1.75,1530,1530
557000,3,3.5,1710,1290
360000,4,1.75,3730,2150
352000,2,1,940,940
437000,3,2.5,1750,1750
322500,4,2.5,1820,1820
650000,3,3.25,1510,1330
450000,3,2,1290,1290
278500,3,2,1570,1570
364950,4,2.5,1930,1930
840000,4,3.5,2840,2840
268000,3,2.5,1550,1550
517534,2,1,833,833
632925,3,2.5,2990,2990
577500,3,2.5,2000,2000
339000,4,1.5,2390,2390
570000,3,1.75,2910,1530
563500,4,1.75,2085,1610
423000,4,2.25,2200,1290
355000,3,2.25,1860,1860
1.55E+06,5,4.25,6070,6070
482000,2,1,950,950
625000,3,1.75,1600,1600
538000,3,2.5,2250,2250
380000,3,2.5,2280,2280
375000,2,1,940,940
245000,3,2.5,1530,1030
310000,5,1.75,2190,2190
1.30E+06,3,2,2350,1770
397000,4,2,1440,1200
365000,3,2.5,2200,2200
328500,4,3,2290,2290
988000,4,3,4040,4040
1.00E+06,4,2.5,2610,1920
237000,3,2.5,1490,1490
525000,4,2.5,2450,2450
749000,4,2.5,1710,1440
722500,5,2.5,4870,3470
843000,3,2.5,3130,3130
438000,2,2,1270,1270
578000,3,1.75,2120,1540
227950,3,1.5,1670,1670
196000,3,2.25,2070,2070
641000,2,1,1420,1070
350000,3,1.5,1250,1250
205000,3,1,940,940
400000,3,1.75,1920,1920
1.03E+06,3,2.5,3545,2610
505000,3,2,1260,1260
475000,5,2.5,2340,1300
520000,3,2.25,2590,1440
1.45E+06,3,4.5,3970,3260
333500,3,1.75,1220,1220
232000,3,1,1400,1400
691100,3,2.75,2360,1710
811000,3,1.75,1870,1870
551000,3,2.5,2830,2830
496500,3,2.5,2260,2260
705000,3,3,1970,1770
578000,4,2.5,3140,1770
255000,3,1.75,1240,1240
1.05E+06,4,3.5,3450,3450
348000,3,2.25,2570,2570
230000,3,2,1510,1510
359500,4,2.25,2390,2390
330000,3,1,980,980
80000,1,0.75,430,430
465000,3,1.75,1480,1480
325000,4,2.5,1850,1850
340500,3,2,2270,1920
342500,3,2.5,1810,1810
290900,2,2,1610,1610
868700,3,4.25,3840,3840
1.20E+06,4,2.75,4110,3130
1.15E+06,4,3.25,4190,3150
859900,4,2.75,3390,3390
520000,4,2.25,1890,1890
460000,3,2.5,1610,1080
438924,3,1.5,1050,850
